23.4-23.427740199522756 no sign [0.00079899 0.00704798 0.0028687 ] with sign [0.84825305 0.59948482 1.70910098]
23.427740199522756-23.45520076398822 no sign [0.00080461 0.00702583 0.00293228] with sign [0.84985665 0.61355864 1.70329999]
23.45520076398822-23.48238543928733 no sign [0.00080788 0.00700787 0.00299638] with sign [0.85146914 0.62759234 1.69737133]
23.48238543928733-23.509297908797176 no sign [0.00080898 0.00699417 0.00306126] with sign [0.853086   0.64159438 1.69131369]
23.509297908797176-23.535941794628755 no sign [0.00080804 0.00698475 0.00312716] with sign [0.85470301 0.6555733  1.68512527]
23.535941794628755-23.562320658845767 no sign [0.00080517 0.00697967 0.00319432] with sign [0.85631622 0.66953772 1.6788038 ]
23.562320658845767-23.588438004655234 no sign [0.00080047 0.00697897 0.00326299] with sign [0.85792187 0.68349636 1.6723465 ]
23.588438004655234-23.61429727757064 no sign [0.00079402 0.0069827  0.0033334 ] with sign [0.85951636 0.69745802 1.66575011]
23.61429727757064-23.63990186654837 no sign [0.00078585 0.0069909  0.00340579] with sign [0.86109623 0.71143161 1.65901093]
23.63990186654837-23.66525510509811 no sign [0.00077602 0.00700362 0.0034804 ] with sign [0.86265811 0.72542613 1.65212474]
23.66525510509811-23.690360272367865 no sign [0.00076455 0.00702091 0.00355747] with sign [0.86419868 0.73945065 1.64508688]
23.690360272367865-23.715220594204347 no sign [0.00075144 0.00704283 0.00363724] with sign [0.86571467 0.75351439 1.63789218]
23.715220594204347-23.73983924418925 no sign [0.00073668 0.00706942 0.00371996] with sign [0.86720279 0.76762663 1.63053498]
23.73983924418925-23.764219344652126 no sign [0.00072025 0.00710074 0.00380589] with sign [0.86865972 0.78179679 1.62300914]
23.764219344652126-23.788363967660448 no sign [0.00070213 0.00713685 0.00389529] with sign [0.87008209 0.79603438 1.61530796]
23.788363967660448-23.812276135987393 no sign [0.00068225 0.00717781 0.00398842] with sign [0.87146647 0.81034904 1.60742425]
23.812276135987393-23.835958824057975 no sign [0.00066056 0.00722367 0.00408558] with sign [0.87280927 0.82475053 1.59935025]
23.835958824057975-23.859414958874073 no sign [0.00063699 0.00727451 0.00418705] with sign [0.87410682 0.83924871 1.59107763]
23.859414958874073-23.882647420918847 no sign [0.00061144 0.00733037 0.00429313] with sign [0.87535525 0.85385359 1.58259745]
23.882647420918847-23.905659045041126 no sign [0.00058382 0.00739133 0.00440414] with sign [0.87655051 0.86857528 1.57390019]
23.905659045041126-23.928452621320208 no sign [0.000554   0.00745744 0.00452041] with sign [0.87768833 0.88342405 1.56497565]
23.928452621320208-23.95103089591164 no sign [0.00052186 0.00752878 0.00464228] with sign [0.8787642  0.89841027 1.55581296]
23.95103089591164-23.973396571874375 no sign [0.00048725 0.00760539 0.00477013] with sign [0.87977332 0.91354444 1.54640054]
23.973396571874375-23.99555230997984 no sign [0.00045001 0.00768735 0.00490434] with sign [0.88071058 0.92883718 1.53672607]
23.99555230997984-24.017500729503332 no sign [0.00040995 0.0077747  0.0050453 ] with sign [0.88157054 0.94429923 1.52677643]
24.017500729503332-24.03924440899819 no sign [0.00036687 0.00786751 0.00519344] with sign [0.88234736 0.95994144 1.51653769]
24.03924440899819-24.06078588705316 no sign [0.00032056 0.00796581 0.00534922] with sign [0.88303479 0.97577475 1.50599503]
24.06078588705316-24.08212766303338 no sign [0.00027077 0.00806964 0.0055131 ] with sign [0.88362612 0.99181019 1.49513271]
24.08212766303338-24.103272197805403 no sign [0.00021724 0.00817904 0.00568557] with sign [0.88411413 1.00805887 1.48393404]
24.103272197805403-24.124221914446604 no sign [0.00015968 0.00829402 0.00586718] with sign [0.88449105 1.02453193 1.47238129]
24.124221914446604-24.144979198939417 no sign [9.77798578e-05 8.41458469e-03 6.05846348e-03] with sign [0.88474851 1.04124053 1.46045565]
24.144979198939417-24.16554640085069 no sign [3.11957490e-05 8.54072241e-03 6.26001563e-03] with sign [0.88487748 1.05819584 1.44813717]
24.16554640085069-24.185925833996635 no sign [4.04439504e-05 8.67239705e-03 6.47245050e-03] with sign [0.88486823 1.07540896 1.43540471]
24.185925833996635-24.206119777093583 no sign [0.00011754 0.00880955 0.00669642] with sign [0.88471025 1.09289091 1.42223584]
24.206119777093583-24.22613047439502 no sign [0.00020054 0.00895209 0.0069326 ] with sign [0.88439216 1.11065254 1.40860682]
24.22613047439502-24.24596013631514 no sign [0.00028991 0.0090999  0.00718171] with sign [0.88390171 1.12870453 1.39449252]
24.24596013631514-24.26561094003929 no sign [0.00038617 0.0092528  0.0074445 ] with sign [0.88322563 1.14705723 1.3798663 ]
24.26561094003929-24.2850850301216 no sign [0.00048988 0.0094106  0.00772176] with sign [0.88234958 1.16572064 1.36470004]
24.2850850301216-24.304384519070116 no sign [0.00060163 0.00957303 0.00801431] with sign [0.88125807 1.18470427 1.34896397]
24.304384519070116-24.32351148791972 no sign [0.00072209 0.00973975 0.00832299] with sign [0.87993435 1.20401705 1.33262667]
24.32351148791972-24.342467986793153 no sign [0.00085194 0.00991037 0.00864869] with sign [0.87836033 1.22366717 1.31565499]
24.342467986793153-24.36125603545037 no sign [0.00099194 0.0100844  0.0089923 ] with sign [0.87651645 1.24366194 1.29801401]
24.36125603545037-24.37987762382659 no sign [0.0011429  0.01026127 0.00935477] with sign [0.87438162 1.2640076  1.27966693]
24.37987762382659-24.398334712559205 no sign [0.00130568 0.01044028 0.00973703] with sign [0.87193304 1.28470915 1.26057513]
24.398334712559205-24.41662923350389 no sign [0.00148121 0.01062063 0.01014003] with sign [0.86914615 1.30577007 1.24069807]
24.41662923350389-24.434763090240136 no sign [0.00167047 0.01080138 0.01056472] with sign [0.86599446 1.32719208 1.21999332]
24.434763090240136-24.45273815856643 no sign [0.00187451 0.01098142 0.01101202] with sign [0.86244948 1.34897487 1.19841659]
24.45273815856643-24.47055628698539 no sign [0.00209441 0.01115947 0.01148283] with sign [0.85848057 1.37111576 1.17592173]
24.47055628698539-24.488219297178993 no sign [0.00233135 0.01133408 0.011978  ] with sign [0.85405481 1.39360931 1.15246089]
24.488219297178993-24.50572898447423 no sign [0.00258652 0.01150357 0.0124983 ] with sign [0.84913695 1.41644695 1.1279846 ]
24.50572898447423-24.523087118299305 no sign [0.00286117 0.01166602 0.01304437] with sign [0.84368926 1.43961654 1.10244193]
24.523087118299305-24.5402954426307 no sign [0.00315661 0.0118193  0.01361675] with sign [0.83767148 1.46310186 1.07578081]
24.5402954426307-24.55735567643121 no sign [0.00347412 0.01196096 0.01421578] with sign [0.83104075 1.48688212 1.04794828]
24.55735567643121-24.57426951407926 no sign [0.00381504 0.0120883  0.01484157] with sign [0.82375159 1.51093138 1.01889093]
24.57426951407926-24.5910386257896 no sign [0.00418067 0.0121983  0.01549398] with sign [0.81575588 1.53521799 0.98855538]
24.5910386257896-24.607664658025673 no sign [0.00457226 0.01228765 0.01617249] with sign [0.80700295 1.55970395 0.95688891]
24.607664658025673-24.62414923390375 no sign [0.79743969 1.58434431 0.92384021] with sign [0.00499101 0.01235271 0.01687621]
*
24.62414923390375-24.640493953589093 no sign [0.005438   0.01238954 0.01760376] with sign [0.78701069 1.60908657 0.88936024]
24.640493953589093-24.65670039468431 no sign [0.00591417 0.01239393 0.01835321] with sign [0.77565852 1.63387004 0.85340327]
24.65670039468431-24.672770112610017 no sign [0.00642024 0.01236137 0.01912198] with sign [0.76332412 1.65862533 0.81592808]
24.672770112610017-24.68870464097808 no sign [0.0069567  0.01228719 0.01990676] with sign [0.74994717 1.6832739  0.77689934]
24.68870464097808-24.70450549195752 no sign [0.0075237  0.01216655 0.02070344] with sign [0.73546677 1.70772764 0.73628913]
24.70450549195752-24.720174156633288 no sign [0.00812102 0.01199456 0.02150702] with sign [0.71982205 1.73188875 0.69407867]
24.720174156633288-24.735712105358047 no sign [0.00874796 0.01176641 0.02231151] with sign [0.70295307 1.75564972 0.65026014]
24.735712105358047-24.751120788097133 no sign [0.00940335 0.01147747 0.02310991] with sign [0.68480175 1.7788936  0.60483872]
24.751120788097133-24.766401634766837 no sign [0.0100854  0.01112351 0.02389416] with sign [0.665313   1.80149458 0.55783465]
24.766401634766837-24.78155605556616 no sign [0.0107917  0.01070085 0.02465513] with sign [0.64443591 1.82331893 0.50928536]
24.78155605556616-24.796585441302163 no sign [0.01151917 0.0102066  0.02538264] with sign [0.62212505 1.84422638 0.45924759]
24.796585441302163-24.8114911637091 no sign [0.01226403 0.0096389  0.02606555] with sign [0.59834185 1.86407187 0.40779941]
24.8114911637091-24.82627457576141 no sign [0.01302185 0.00899713 0.02669184] with sign [0.57305596 1.88270791 0.35504203]
24.82627457576141-24.84093701198076 no sign [0.01378755 0.00828219 0.02724881] with sign [0.54624655 1.89998723 0.30110138]
24.84093701198076-24.85547978873722 no sign [0.0145555  0.00749667 0.02772328] with sign [0.5179035  1.91576609 0.24612929]
24.85547978873722-24.86990420454474 no sign [0.01531967 0.00664505 0.02810183] with sign [0.48802833 1.9299078  0.19030419]
24.86990420454474-24.884211540350993 no sign [0.01607377 0.00573385 0.0283711 ] with sign [0.45663489 1.9422867  0.13383126]
24.884211540350993-24.898403059821803 no sign [0.01681152 0.00477169 0.02851806] with sign [0.4237496  1.95279224 0.0769421 ]
24.898403059821803-24.912480009620154 no sign [0.01752686 0.00376924 0.02853033] with sign [0.38941123 1.96133316 0.01989371]
24.912480009620154-24.92644361967999 no sign [0.01821429 0.00273917 0.02839639] with sign [0.35367008 1.96784156 0.03703301]
24.92644361967999-24.940295103474895 no sign [0.01886917 0.00169593 0.02810575] with sign [0.31658662 1.97227666 0.09353515]
24.940295103474895-24.95403565828171 no sign [0.01948807 0.00065553 0.02764904] with sign [0.27822938 1.97462813 0.14928994]
24.95403565828171-24.967666465439287 no sign [0.02006909 0.00036485 0.02701785] with sign [0.23867221 1.97491881 0.20395683]
24.967666465439287-24.9811886906024 no sign [0.0206122  0.00134717 0.02620455] with sign [0.19799092 1.9732068  0.25717923]
24.9811886906024-24.99460348399096 no sign [0.02111956 0.00227294 0.02520167] with sign [0.15625916 1.9695867  0.30858545]
24.99460348399096-25.00791198063462 no sign [0.0215958  0.00312357 0.02400121] with sign [0.1135438  1.96419019 0.35778834]
25.00791198063462-25.02111530061287 no sign [0.02204837 0.0038807  0.02259347] with sign [0.06989963 1.95718593 0.40438303]
25.02111530061287-25.03421454929073 no sign [0.02248779 0.00452641 0.02096553] with sign [0.02536348 1.94877882 0.44794204]
25.03421454929073-25.047210817550088 no sign [0.02292807 0.00504345 0.01909922] with sign [0.02005238 1.93920895 0.48800679]
25.047210817550088-25.06010518201683 no sign [0.02338715 0.00541531 0.01696828] with sign [0.06636761 1.92875019 0.52407428]
25.06010518201683-25.072898705283837 no sign [0.02388745 0.00562637 0.01453464] with sign [0.11364221 1.9177085  0.55557721]
25.072898705283837-25.085592436129875 no sign [0.02445665 0.00566214 0.01174308] with sign [0.16198631 1.90641999 0.58185493]
25.085592436129875-25.098187409734567 no sign [0.02512872 0.00550995 0.00851369] with sign [0.21157168 1.8952479  0.60211171]
25.098187409734567-25.110684647889443 no sign [0.025945   0.0051606  0.00473093] with sign [0.2626454  1.88457736 0.61535633]
25.110684647889443-25.123085159205168 no sign [0.02695542 0.00461201 0.00022721] with sign [0.31554582 1.87480476 0.62031447]
25.123085159205168-25.135389939315075 no sign [0.02821892 0.00387722 0.00524169] with sign [0.37072016 1.86631553 0.6153    ]
25.135389939315075-25.14759997107501 no sign [0.02980142 0.00300111 0.01203413] with sign [0.4287405  1.8594372  0.59802418]
25.14759997107501-25.159716224759595 no sign [0.03176684 0.00209542 0.02067878] with sign [0.49030876 1.85434068 0.56531127]
25.159716224759595-25.171739658255007 no sign [0.03414976 0.00141149 0.03195485] with sign [0.55622537 1.85083378 0.51267764]
25.171739658255007-25.183671217248293 no sign [0.03688303 0.00149026 0.04699047] with sign [0.62725817 1.84793203 0.43373232]
25.183671217248293-25.195511835413335 no sign [0.03961916 0.00346086 0.06732241] with sign [0.70376036 1.84298091 0.31941943]
25.195511835413335-25.20726243459352 no sign [0.04132616 0.00957642 0.09468499] with sign [0.78470568 1.82994362 0.15741203]
25.20726243459352-25.218923924981155 no sign [0.03952604 0.02389307 0.12982614] with sign [0.86555787 1.79647412 0.06709911]
25.218923924981155-25.23049720529373 no sign [0.02951342 0.05196462 0.16897503] with sign [0.93459733 1.72061643 0.36590028]
25.23049720529373-25.24198316294709 no sign [0.00587086 0.09599568 0.19817643] with sign [0.96998161 1.57265613 0.73305174]
25.24198316294709-25.253382674225545 no sign [0.02997769 0.14398942 0.19547755] with sign [0.94587477 1.33267102 1.12670572]
25.253382674225545-25.264696604449 no sign [0.06343729 0.170317   0.15411674] with sign [0.85245979 1.0183646  1.47630001]
25.264696604449-25.275925808137195 no sign [0.07955054 0.16268112 0.09720587] with sign [0.70947196 0.68536647 1.72762262]
25.275925808137195-25.287071129171032 no sign [0.07850975 0.13409376 0.05086072] with sign [0.55141167 0.38859158 1.87568921]
25.287071129171032-25.29813340095115 no sign [0.06913562 0.10208945 0.02230739] with sign [0.4037663  0.15240837 1.94885732]
25.29813340095115-25.309113446553717 no sign [0.05816179 0.07512843 0.0071858 ] with sign [0.27646889 0.02480951 1.97835051]
25.309113446553717-25.32001207888352 no sign [0.048386   0.05470571 0.00011992] with sign [0.1699211  0.15464365 1.98541639]
25.32001207888352-25.330830100824446 no sign [0.04044174 0.03978599 0.00334647] with sign [0.08109337 0.24913535 1.98195   ]
25.330830100824446-25.341568305387348 no sign [0.03417944 0.02894989 0.00454958] with sign [0.00647218 0.31787123 1.97405394]
25.341568305387348-25.352227475855383 no sign [0.02926703 0.02102328 0.00478479] with sign [0.05697429 0.3678444  1.96471957]
25.352227475855383-25.36280838592684 no sign [0.02538891 0.01515417 0.00458065] with sign [0.11163022 0.40402185 1.95535414]
25.36280838592684-25.37331179985555 no sign [0.02229293 0.01074982 0.00419874] with sign [0.15931207 0.42992584 1.94657475]
25.37331179985555-25.383738472588902 no sign [0.01978916 0.00740152 0.00376655] with sign [0.20139415 0.44807719 1.93860946]
25.383738472588902-25.394089149903493 no sign [0.01773741 0.00482587 0.00334414] with sign [0.23892072 0.46030458 1.93149877]
25.394089149903493-25.40436456853849 no sign [0.01603453 0.00282413 0.00295765] with sign [0.27269266 0.46795458 1.92519697]
25.40436456853849-25.414565456326734 no sign [0.01460419 0.00125485 0.00261626] with sign [0.30333138 0.47203356 1.91962306]
25.414565456326734-25.424692532323633 no sign [1.33894479e-02 1.58784765e-05 2.32088952e-03] with sign [0.33132502 0.47330429 1.9146859 ]
25.424692532323633-25.434746506933863 no sign [0.01234735 0.00096769 0.00206862] with sign [0.35706182 0.47235249 1.91029639]
25.434746506933863-25.444728082035986 no sign [0.01144514 0.00175154 0.00185501] with sign [0.38085431 0.46963326 1.90637276]
25.444728082035986-25.454637951104925 no sign [0.40295698 0.46550406 1.90284251] with sign [0.01065752 0.00237766 0.00167524]
*
25.454637951104925-25.46447679933242 no sign [0.00996477 0.00287807 0.00152462] with sign [0.42357927 0.46024833 1.89964264]
25.46447679933242-25.474245303745487 no sign [0.00935132 0.00327751 0.00139892] with sign [0.44289536 0.45409274 1.8967191 ]
25.474245303745487-25.483944133322872 no sign [0.00880475 0.00359526 0.00129437] with sign [0.46105143 0.44721997 1.89402581]
25.483944133322872-25.493573949109596 no sign [0.00831509 0.00384652 0.00120772] with sign [0.47817127 0.43977819 1.89152372]
25.493573949109596-25.50313540432959 no sign [0.00787421 0.00404336 0.00113616] with sign [0.49436056 0.43188832 1.88917984]
25.50313540432959-25.51262914449649 no sign [0.00747545 0.00419546 0.00107734] with sign [0.50971022 0.42364951 1.88696633]
25.51262914449649-25.522055807522563 no sign [0.00711332 0.00431062 0.00102924] with sign [0.524299   0.41514343 1.88485974]
25.522055807522563-25.53141602382589 no sign [0.00678324 0.00439521 0.00099017] with sign [0.53819556 0.4064376  1.88284033]
25.53141602382589-25.54071041643576 no sign [0.00648135 0.0044544  0.00095869] with sign [0.55146016 0.39758799 1.88089147]
25.54071041643576-25.549939601096355 no sign [0.00620442 0.00449247 0.0009336 ] with sign [0.56414593 0.38864112 1.87899918]
25.549939601096355-25.559104186368717 no sign [0.00594966 0.00451294 0.00091389] with sign [0.5763     0.37963571 1.87715168]
25.559104186368717-25.568204773731086 no sign [0.00571472 0.00451874 0.00089871] with sign [0.58796438 0.37060403 1.87533908]
